c.age.r1,c.female.r1,p.age.r1,p.female.r1,doesKnow12.r1,doesKnow15.r1,doesKnow16.r1,doesKnow19.r1,doesKnow20.r1,doesKnow23.r1,doesKnow24.r1,doesKnow27.r1
12,1,65,1,"yes, child knows",11,"yes, child knows",11,NA,NA,NA,NA
10,1,44,1,"yes, child knows",9,"no, child does not know",NA,NA,NA,NA,NA
13,1,79,1,"yes, child knows",11,"yes, child knows",11,"yes, child knows",11,"no, child does not know",NA
10,0,34,1,"yes, child knows",7,"yes, child knows",9,"yes, child knows",9,"no, child does not know",NA
11,0,65,1,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10,"no, child does not know",NA
10,0,37,1,"yes, child knows",8,"yes, child knows",9,"yes, child knows",9,NA,NA
11,1,73,1,"yes, child knows",NA,NA,NA,NA,NA,NA,NA
15,0,59,1,"yes, child knows",5,"yes, child knows",13,"yes, child knows",13,"no, child does not know",NA
13,0,57,1,"yes, child knows",7,"yes, child knows",7,"yes, child knows",7,"no, child does not know",NA
11,1,67,1,"yes, child knows",5,"no, child does not know",NA,NA,NA,NA,NA
15,0,48,1,"yes, child knows",11,"yes, child knows",11,"yes, child knows",11,child might know or suspect,NA
10,1,38,1,"yes, child knows",9,"yes, child knows",9,"yes, child knows",9,"yes, child knows",9
11,0,29,1,"no, child does not know",NA,"no, child does not know",NA,NA,NA,NA,NA
14,1,61,1,"yes, child knows",NA,"yes, child knows",NA,NA,NA,NA,NA
11,0,40,0,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10
14,0,50,1,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10,"yes, child knows",NA
15,0,63,1,"yes, child knows",11,"yes, child knows",15,NA,NA,NA,NA
9,1,48,1,"yes, child knows",7,"no, child does not know",NA,NA,NA,NA,NA
15,1,59,1,"yes, child knows",NA,"yes, child knows",NA,child might know or suspect,NA,"yes, child knows",NA
11,1,35,0,"yes, child knows",9,"no, child does not know",NA,NA,NA,NA,NA
13,1,47,1,"yes, child knows",6,"yes, child knows",6,"yes, child knows",7,"yes, child knows",13
10,0,65,1,"yes, child knows",7,"no, child does not know",NA,NA,NA,NA,NA
12,0,42,1,"yes, child knows",10,"yes, child knows",10,"no, child does not know",NA,"yes, child knows",10
13,1,43,1,"yes, child knows",8,"yes, child knows",8,"yes, child knows",8,NA,NA
13,0,53,1,"yes, child knows",7,"yes, child knows",11,"yes, child knows",11,child might know or suspect,NA
13,0,51,0,"yes, child knows",12,"yes, child knows",12,"yes, child knows",12,"yes, child knows",12
9,1,61,1,"yes, child knows",8,"no, child does not know",NA,NA,NA,NA,NA
14,0,64,1,"yes, child knows",13,"yes, child knows",13,"yes, child knows",13,"no, child does not know",NA
15,0,38,1,"yes, child knows",9,"yes, child knows",9,"no, child does not know",NA,"no, child does not know",NA
14,0,55,1,"yes, child knows",NA,"yes, child knows",NA,"yes, child knows",13,"yes, child knows",13
14,1,35,1,"yes, child knows",8,child might know or suspect,NA,NA,NA,NA,NA
14,0,78,1,"yes, child knows",10,"yes, child knows",12,"yes, child knows",12,"yes, child knows",12
15,1,56,1,"yes, child knows",11,"yes, child knows",11,"yes, child knows",11,"yes, child knows",11
13,1,40,1,"yes, child knows",6,"yes, child knows",6,"yes, child knows",6,child might know or suspect,NA
12,0,45,1,"yes, child knows",10,"yes, child knows",10,"yes, child knows",11,"yes, child knows",11
10,0,49,0,"yes, child knows",7,"yes, child knows",8,"no, child does not know",NA,"yes, child knows",9
15,1,66,1,"yes, child knows",12,"yes, child knows",12,"yes, child knows",14,"yes, child knows",13
14,1,55,1,"yes, child knows",13,"yes, child knows",13,"yes, child knows",13,"no, child does not know",NA
13,1,40,1,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10
11,1,33,1,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10,"no, child does not know",NA
12,1,53,1,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10,"yes, child knows",10
10,1,41,1,"yes, child knows",NA,"yes, child knows",7,"yes, child knows",7,"no, child does not know",NA
14,0,45,1,"no, child does not know",NA,"no, child does not know",NA,NA,NA,NA,NA
11,0,74,1,"yes, child knows",9,"yes, child knows",9,"yes, child knows",9,"yes, child knows",NA
12,1,48,1,"yes, child knows",8,"yes, child knows",11,"no, child does not know",NA,"no, child does not know",NA
14,1,33,1,"yes, child knows",13,"yes, child knows",NA,"yes, child knows",13,"yes, child knows",13
13,1,40,1,"yes, child knows",11,"no, child does not know",NA,NA,NA,NA,NA
11,0,34,1,"yes, child knows",6,"no, child does not know",NA,NA,NA,NA,NA
13,0,71,1,"yes, child knows",NA,"no, child does not know",NA,NA,NA,NA,NA
11,0,40,1,"yes, child knows",7,"yes, child knows",7,"yes, child knows",7,"no, child does not know",NA
10,0,46,1,"yes, child knows",10,"no, child does not know",NA,NA,NA,NA,NA
10,0,54,1,"yes, child knows",5,"yes, child knows",7,"yes, child knows",7,"yes, child knows",7
14,0,48,0,"yes, child knows",7,"yes, child knows",7,"yes, child knows",10,"yes, child knows",10
14,0,45,1,"no, child does not know",NA,"no, child does not know",NA,NA,NA,NA,NA
14,0,65,1,child might know or suspect,NA,"no, child does not know",NA,NA,NA,NA,NA
12,0,35,1,"yes, child knows",NA,NA,NA,NA,NA,NA,NA
12,1,45,1,"yes, child knows",11,"no, child does not know",NA,NA,NA,NA,NA
12,1,70,0,"yes, child knows",10,"yes, child knows",11,"no, child does not know",NA,"no, child does not know",NA
14,0,34,1,"yes, child knows",9,"yes, child knows",9,"yes, child knows",9,"yes, child knows",9
12,0,57,1,"yes, child knows",5,"yes, child knows",7,"yes, child knows",7,"yes, child knows",9
11,1,34,1,"yes, child knows",10,"yes, child knows",9,"yes, child knows",10,"yes, child knows",9
12,0,42,1,"yes, child knows",9,"yes, child knows",9,"yes, child knows",9,"no, child does not know",NA
9,1,37,1,"yes, child knows",9,"no, child does not know",NA,NA,NA,NA,NA
12,0,31,1,"yes, child knows",9,"yes, child knows",10,"yes, child knows",11,"yes, child knows",11
13,1,29,1,"yes, child knows",9,"no, child does not know",NA,NA,NA,NA,NA
13,1,36,0,"yes, child knows",11,"no, child does not know",NA,NA,NA,NA,NA
10,0,32,1,"yes, child knows",7,"yes, child knows",8,"no, child does not know",NA,"no, child does not know",NA
14,0,30,1,"yes, child knows",12,"yes, child knows",12,"yes, child knows",12,"yes, child knows",12
12,0,44,0,"yes, child knows",NA,"no, child does not know",NA,NA,NA,NA,NA
13,0,44,1,"yes, child knows",13,"no, child does not know",NA,NA,NA,NA,NA
10,1,54,1,"yes, child knows",6,"no, child does not know",NA,NA,NA,NA,NA
